Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
233,1.941667,-0.002121,0.008606,0.008923,-0.999921,89.237198,222.663498,-144.596588
234,1.950000,-0.002095,0.008628,0.008972,-0.999920,89.234871,222.670898,-144.587357
235,1.958333,-0.002102,0.008606,0.008980,-0.999920,89.221474,222.662979,-144.599060
236,1.966667,-0.002114,0.008606,0.008966,-0.999921,89.246674,222.662399,-144.607300
237,1.975000,-0.002115,0.008622,0.008948,-0.999921,89.228783,222.683990,-144.603012
238,1.983333,-0.002088,0.008627,0.008957,-0.999921,89.235741,222.665283,-144.587189
239,1.991667,-0.002138,0.008625,0.008937,-0.999921,89.233002,222.651718,-144.603134
240,2.000000,-0.002125,0.008625,0.008924,-0.999921,89.227798,222.658539,-144.618332
241,2.008333,-0.002119,0.008612,0.008954,-0.999921,89.245293,222.652817,-144.580872
242,2.016667,-0.002105,0.008624,0.008937,-0.999921,89.254051,222.659515,-144.573364
243,2.025000,-0.002023,0.008596,0.009019,-0.999920,89.238525,222.660141,-144.577209
244,2.033333,-0.002057,0.008572,0.008998,-0.999921,89.239952,222.653137,-144.587219
245,2.041667,-0.002050,0.008593,0.009026,-0.999920,89.226547,222.657379,-144.565201
246,2.050000,-0.002070,0.008574,0.008978,-0.999921,89.216667,222.659607,-144.584412
247,2.058333,-0.002011,0.008523,0.008962,-0.999922,89.213509,222.650818,-144.584946
248,2.066667,-0.001990,0.008500,0.009043,-0.999921,89.201614,222.644180,-144.565994
249,2.075000,-0.002032,0.008523,0.008964,-0.999921,89.202599,222.647583,-144.573593
250,2.083333,-0.002087,0.008490,0.008944,-0.999922,89.200172,222.663040,-144.596588
251,2.091667,-0.001991,0.008474,0.008956,-0.999922,89.204567,222.656281,-144.566238
252,2.100000,-0.002029,0.008479,0.008974,-0.999922,89.206062,222.640381,-144.569611
253,2.108333,-0.002046,0.008492,0.008968,-0.999922,89.206001,222.652298,-144.577621
254,2.116667,-0.002005,0.008487,0.009014,-0.999921,89.175957,222.650269,-144.560074
255,2.125000,-0.002075,0.008452,0.008901,-0.999923,89.191277,222.657181,-144.581100
256,2.133333,-0.002094,0.008461,0.008919,-0.999922,89.194916,222.658432,-144.576050
257,2.141667,-0.002103,0.008483,0.008996,-0.999921,89.174988,222.664169,-144.570343
258,2.150000,-0.002063,0.008464,0.008937,-0.999922,89.196045,222.678162,-144.553345
259,2.158333,-0.002110,0.008486,0.008844,-0.999923,89.197960,222.666718,-144.571991
260,2.166667,-0.002130,0.008477,0.008862,-0.999923,89.183006,222.663956,-144.556381
261,2.175000,-0.002042,0.008512,0.008997,-0.999921,89.164040,222.663071,-144.564224
262,2.183333,-0.002118,0.008517,0.008911,-0.999922,89.162918,222.653183,-144.563232
263,2.191667,-0.002099,0.008539,0.008938,-0.999921,89.160873,222.674957,-144.560898
264,2.200000,-0.002086,0.008536,0.008918,-0.999922,89.139336,222.653641,-144.567795
265,2.208333,-0.002094,0.008547,0.008943,-0.999921,89.162575,222.652252,-144.594910
